system   D            wsystem.c:583  maybe_parent_dir                 [   0.00797] Also searching D:\projekt\cliente\Project1\
display  D   display_settings.c:191  debug_display_settings           [   0.04317] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04318] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04318] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04319] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04320] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04320] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04321] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04322] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04322] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04323] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04324] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04325] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04325] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04326] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04327] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04327] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04328] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.04330] Single Buffer requirement not met.
